idCommune,idVoie,idAdresse
609_C,4616_V,81_A
624_C,4620_V,82_A
628_C,4614_V,83_A
649_C,4816_V,84_A
3123_C,29813_V,85_A
3123_C,29817_V,86_A
683_C,5050_V,87_A
684_C,5042_V,88_A
709_C,5113_V,89_A
2552_C,17769_V,90_A
2552_C,17783_V,91_A
760_C,5465_V,92_A
763_C,5440_V,93_A
765_C,5464_V,94_A
774_C,5624_V,95_A
774_C,5770_V,96_A
775_C,5720_V,97_A
776_C,5717_V,98_A
1308_C,9475_V,99_A
791_C,6093_V,100_A
806_C,6085_V,101_A
2940_C,22942_V,102_A
2940_C,22976_V,103_A
859_C,6460_V,104_A
1241_C,8899_V,105_A
1241_C,8900_V,106_A
2359_C,16350_V,107_A
2977_C,24093_V,108_A
2977_C,24113_V,109_A
2977_C,24124_V,110_A
2939_C,22995_V,111_A
933_C,6969_V,112_A
941_C,6976_V,113_A
952_C,7147_V,114_A
958_C,7152_V,115_A
979_C,7230_V,116_A
984_C,7222_V,117_A
2983_C,24533_V,118_A
2559_C,18155_V,119_A
2752_C,19434_V,120_A
2386_C,16727_V,121_A
1019_C,7498_V,122_A
2963_C,23845_V,123_A
1062_C,7952_V,124_A
1137_C,8230_V,125_A
1139_C,8206_V,126_A
2302_C,15463_V,127_A
1185_C,8613_V,128_A
1571_C,11134_V,129_A
3112_C,26439_V,130_A
3112_C,26474_V,131_A
1304_C,9490_V,132_A
2937_C,22962_V,133_A
1224_C,8807_V,134_A
2868_C,12440_V,135_A
2868_C,20960_V,136_A
2868_C,20990_V,137_A
1493_C,9218_V,138_A
1258_C,9220_V,139_A
3109_C,26081_V,140_A
3109_C,26082_V,141_A
1365_C,9900_V,142_A
1378_C,9966_V,143_A
1406_C,10200_V,144_A
1408_C,10195_V,145_A
1441_C,10396_V,146_A
1460_C,10559_V,147_A
1465_C,10615_V,148_A
1465_C,10631_V,149_A
2942_C,23000_V,150_A
3117_C,27700_V,151_A
3117_C,27710_V,152_A
3117_C,27724_V,153_A
3117_C,27749_V,154_A
1541_C,10924_V,155_A
1590_C,11404_V,156_A
1600_C,11399_V,157_A
1614_C,11530_V,158_A
1628_C,11630_V,159_A
1638_C,11656_V,160_A
1639_C,11655_V,161_A
2296_C,15448_V,162_A
1852_C,12609_V,163_A
1853_C,12641_V,164_A
1872_C,12985_V,165_A
3122_C,29349_V,166_A
3122_C,29366_V,167_A
1881_C,13224_V,168_A
1881_C,13225_V,169_A
1898_C,13480_V,170_A
1908_C,13469_V,171_A
1982_C,13835_V,172_A
2429_C,17131_V,173_A
2905_C,22015_V,174_A
2349_C,15981_V,175_A
2203_C,14936_V,176_A
3113_C,26838_V,177_A
3113_C,26864_V,178_A
3113_C,26921_V,179_A
2251_C,15301_V,180_A
2384_C,16721_V,181_A
2981_C,24155_V,182_A
2358_C,16348_V,183_A
2362_C,16377_V,184_A
2903_C,22064_V,185_A
2768_C,19733_V,186_A
2525_C,17637_V,187_A
2551_C,17722_V,188_A
2553_C,17733_V,189_A
2553_C,17739_V,190_A
2556_C,17719_V,191_A
3115_C,27386_V,192_A
2678_C,19118_V,193_A
2707_C,19218_V,194_A
2954_C,23374_V,195_A
2738_C,19397_V,196_A
2742_C,19655_V,197_A
2747_C,19384_V,198_A
2757_C,19391_V,199_A
2763_C,19420_V,200_A
2772_C,19762_V,201_A
2922_C,22403_V,202_A
2922_C,22416_V,203_A
2790_C,19998_V,204_A
3050_C,25005_V,205_A
3119_C,28465_V,206_A
3119_C,28477_V,207_A
3119_C,28480_V,208_A
2880_C,21511_V,209_A
2881_C,21494_V,210_A
2909_C,22141_V,211_A
2931_C,22529_V,212_A
2936_C,22967_V,213_A
2969_C,23846_V,214_A
2969_C,23847_V,215_A
3108_C,26056_V,216_A
3001_C,24541_V,217_A
3003_C,24554_V,218_A
3114_C,26902_V,219_A
3079_C,25516_V,220_A
3120_C,28891_V,221_A
3121_C,29317_V,222_A
1_C,1_V,223_A
3110_C,26030_V,224_A
1004_C,7366_V,225_A
2865_C,20439_V,226_A
2872_C,21054_V,227_A
2668_C,19012_V,228_A
142_C,503_V,229_A
201_C,1221_V,230_A
223_C,1579_V,231_A
2929_C,22514_V,232_A
320_C,2747_V,233_A
321_C,2776_V,234_A
325_C,2782_V,235_A
2565_C,18073_V,236_A
337_C,3003_V,237_A
365_C,3205_V,238_A
2870_C,20906_V,239_A
1287_C,9361_V,240_A
383_C,3447_V,241_A
759_C,5620_V,242_A
759_C,5629_V,243_A
2920_C,22381_V,244_A
588_C,4442_V,245_A
595_C,4467_V,246_A
2275_C,15395_V,247_A
714_C,5128_V,248_A
1021_C,7510_V,249_A
762_C,5421_V,250_A
1435_C,10344_V,251_A
2346_C,15950_V,252_A
851_C,6399_V,253_A
2359_C,16298_V,254_A
878_C,6558_V,255_A
2381_C,16677_V,256_A
919_C,6801_V,257_A
920_C,6802_V,258_A
2977_C,16445_V,259_A
2584_C,18491_V,260_A
2563_C,18082_V,261_A
2963_C,23779_V,262_A
1135_C,8151_V,263_A
1665_C,11757_V,264_A
1571_C,11131_V,265_A
1247_C,9205_V,266_A
1645_C,11684_V,267_A
1897_C,13448_V,268_A
1465_C,10590_V,269_A
3117_C,27674_V,270_A
1548_C,11017_V,271_A
1591_C,11379_V,272_A
1657_C,11744_V,273_A
1681_C,11830_V,274_A
2342_C,15943_V,275_A
2342_C,15965_V,276_A
1852_C,12534_V,277_A
2101_C,14282_V,278_A
2105_C,14286_V,279_A
2132_C,14462_V,280_A
2134_C,14464_V,281_A
2148_C,14604_V,282_A
2159_C,14636_V,283_A
2182_C,14827_V,284_A
3113_C,26828_V,285_A
3113_C,26831_V,286_A
3113_C,26836_V,287_A
3111_C,26394_V,288_A
2345_C,15953_V,289_A
2360_C,16297_V,290_A
2966_C,23789_V,291_A
2550_C,17681_V,292_A
2667_C,19010_V,293_A
2651_C,18904_V,294_A
2658_C,18979_V,295_A
2659_C,18980_V,296_A
2775_C,19681_V,297_A
3050_C,24993_V,298_A
2844_C,20272_V,299_A
2869_C,20904_V,300_A
3053_C,25011_V,301_A
2902_C,21992_V,302_A
3114_C,26803_V,303_A
3114_C,26804_V,304_A
3114_C,26832_V,305_A
3120_C,28796_V,306_A
3120_C,28807_V,307_A
3120_C,28819_V,308_A
1_C,20_V,309_A
3110_C,26061_V,310_A
7_C,11_V,311_A
12_C,18_V,312_A
17_C,27_V,313_A
147_C,915_V,314_A
2865_C,20461_V,315_A
2865_C,20480_V,316_A
2865_C,20495_V,317_A
2865_C,20508_V,318_A
2865_C,20520_V,319_A
2872_C,21082_V,320_A
83_C,308_V,321_A
91_C,296_V,322_A
2908_C,22158_V,323_A
142_C,542_V,324_A
2982_C,24107_V,325_A
1856_C,12559_V,326_A
159_C,1070_V,327_A
163_C,1075_V,328_A
163_C,1084_V,329_A
171_C,1083_V,330_A
2862_C,20572_V,331_A
201_C,1245_V,332_A
201_C,1292_V,333_A
2388_C,1210_V,334_A
198_C,1285_V,335_A
200_C,1267_V,336_A
202_C,1249_V,337_A
2190_C,14892_V,338_A
2990_C,24515_V,339_A
2889_C,21603_V,340_A
2888_C,21549_V,341_A
2888_C,21648_V,342_A
207_C,1521_V,343_A
2341_C,15975_V,344_A
2341_C,16029_V,345_A
1212_C,8729_V,346_A
3118_C,28046_V,347_A
3118_C,28049_V,348_A
3118_C,28053_V,349_A
3118_C,28089_V,350_A
3118_C,28091_V,351_A
3118_C,28102_V,352_A
221_C,1617_V,353_A
222_C,1610_V,354_A
223_C,1608_V,355_A
2843_C,20274_V,356_A
247_C,1767_V,357_A
2875_C,21402_V,358_A
2875_C,21423_V,359_A
2875_C,21434_V,360_A
2875_C,21448_V,361_A
2719_C,19255_V,362_A
271_C,1900_V,363_A
2933_C,22716_V,364_A
1578_C,11190_V,365_A
1687_C,11839_V,366_A
1535_C,10928_V,367_A
300_C,2091_V,368_A
310_C,2405_V,369_A
310_C,2407_V,370_A
312_C,2377_V,371_A
2222_C,15360_V,372_A
2222_C,15367_V,373_A
313_C,2413_V,374_A
314_C,2359_V,375_A
314_C,2382_V,376_A
320_C,2837_V,377_A
1688_C,11873_V,378_A
318_C,2659_V,379_A
318_C,2678_V,380_A
319_C,2811_V,381_A
319_C,2820_V,382_A
319_C,2842_V,383_A
321_C,2778_V,384_A
321_C,2798_V,385_A
321_C,2819_V,386_A
325_C,2826_V,387_A
325_C,2840_V,388_A
1201_C,2847_V,389_A
336_C,3009_V,390_A
336_C,3022_V,391_A
340_C,3025_V,392_A
351_C,3169_V,393_A
361_C,3235_V,394_A
2870_C,20971_V,395_A
1287_C,9369_V,396_A
1878_C,13245_V,397_A
759_C,5730_V,398_A
2749_C,19375_V,399_A
3105_C,25725_V,400_A
2568_C,18124_V,401_A
2368_C,16338_V,402_A
441_C,3762_V,403_A
461_C,3848_V,404_A
465_C,3869_V,405_A
2894_C,21551_V,406_A
486_C,3970_V,407_A
506_C,4021_V,408_A
506_C,4041_V,409_A
3116_C,27490_V,410_A
3116_C,27508_V,411_A
3116_C,27523_V,412_A
2950_C,23344_V,413_A
2867_C,20965_V,414_A
2867_C,20987_V,415_A
3055_C,25007_V,416_A
563_C,4277_V,417_A
2065_C,14130_V,418_A
2219_C,4343_V,419_A
2778_C,19707_V,420_A
2363_C,16333_V,421_A
650_C,4800_V,422_A
2754_C,19390_V,423_A
3123_C,29797_V,424_A
714_C,5161_V,425_A
1021_C,7552_V,426_A
1021_C,7555_V,427_A
1021_C,7754_V,428_A
1021_C,7759_V,429_A
3056_C,20915_V,430_A
687_C,5047_V,431_A
688_C,5052_V,432_A
690_C,5056_V,433_A
1317_C,9630_V,434_A
730_C,5324_V,435_A
768_C,5468_V,436_A
775_C,5683_V,437_A
775_C,5726_V,438_A
776_C,5699_V,439_A
776_C,5731_V,440_A
778_C,5660_V,441_A
779_C,5686_V,442_A
1308_C,9471_V,443_A
786_C,6063_V,444_A
798_C,6079_V,445_A
807_C,6087_V,446_A
2861_C,20511_V,447_A
3048_C,24992_V,448_A
2769_C,19685_V,449_A
1241_C,8867_V,450_A
1241_C,8874_V,451_A
1241_C,8909_V,452_A
872_C,6609_V,453_A
885_C,6577_V,454_A
914_C,6794_V,455_A
918_C,6815_V,456_A
933_C,6945_V,457_A
933_C,6970_V,458_A
936_C,6946_V,459_A
939_C,6972_V,460_A
950_C,7146_V,461_A
2911_C,22121_V,462_A
1169_C,8477_V,463_A
2584_C,18495_V,464_A
2947_C,23359_V,465_A
2563_C,18163_V,466_A
1035_C,7755_V,467_A
1037_C,7753_V,468_A
1063_C,7945_V,469_A
1103_C,8070_V,470_A
2864_C,20445_V,471_A
1125_C,8128_V,472_A
1137_C,8226_V,473_A
1850_C,12610_V,474_A
1143_C,8215_V,475_A
2295_C,15479_V,476_A
2298_C,15510_V,477_A
1665_C,11760_V,478_A
1665_C,11764_V,479_A
1187_C,8617_V,480_A
2972_C,23822_V,481_A
2972_C,23830_V,482_A
3112_C,26411_V,483_A
3112_C,26442_V,484_A
2868_C,20918_V,485_A
1310_C,9478_V,486_A
3109_C,26034_V,487_A
3109_C,26074_V,488_A
3109_C,26076_V,489_A
3018_C,24815_V,490_A
1356_C,9853_V,491_A
1382_C,9956_V,492_A
1389_C,10059_V,493_A
1389_C,10063_V,494_A
1403_C,10172_V,495_A
1403_C,10173_V,496_A
1406_C,10190_V,497_A
1441_C,10387_V,498_A
2895_C,21664_V,499_A
3117_C,27694_V,500_A
3117_C,27696_V,501_A
3117_C,27701_V,502_A
3117_C,27705_V,503_A
3117_C,27707_V,504_A
3117_C,27711_V,505_A
3117_C,27717_V,506_A
3117_C,27726_V,507_A
3117_C,27751_V,508_A
2468_C,17329_V,509_A
1537_C,10913_V,510_A
1582_C,11186_V,511_A
1636_C,11650_V,512_A
2296_C,15440_V,513_A
1686_C,11853_V,514_A
1758_C,12133_V,515_A
1761_C,12152_V,516_A
1767_C,12176_V,517_A
1854_C,12571_V,518_A
1863_C,12584_V,519_A
3122_C,29328_V,520_A
1879_C,13221_V,521_A
2896_C,22005_V,522_A
1924_C,13587_V,523_A
2910_C,22143_V,524_A
1953_C,13709_V,525_A
1982_C,13833_V,526_A
2012_C,13937_V,527_A
2944_C,23326_V,528_A
2944_C,23360_V,529_A
2905_C,16321_V,530_A
3070_C,25324_V,531_A
2159_C,14647_V,532_A
3107_C,25683_V,533_A
3107_C,25710_V,534_A
3113_C,23528_V,535_A
3113_C,26890_V,536_A
3113_C,26908_V,537_A
3111_C,26436_V,538_A
2739_C,19355_V,539_A
2278_C,15516_V,540_A
2290_C,15437_V,541_A
2290_C,15474_V,542_A
2290_C,15497_V,543_A
2962_C,23794_V,544_A
2351_C,15970_V,545_A
2746_C,19361_V,546_A
2981_C,24109_V,547_A
2387_C,16717_V,548_A
2360_C,16340_V,549_A
2391_C,16703_V,550_A
2428_C,17097_V,551_A
2431_C,17095_V,552_A
2461_C,17289_V,553_A
2469_C,17321_V,554_A
2499_C,17473_V,555_A
2550_C,17707_V,556_A
2551_C,17710_V,557_A
2553_C,17730_V,558_A
2556_C,17716_V,559_A
2569_C,18165_V,560_A
3115_C,27364_V,561_A
2658_C,18986_V,562_A
2665_C,19007_V,563_A
2735_C,19319_V,564_A
2762_C,19410_V,565_A
2772_C,19697_V,566_A
2773_C,19704_V,567_A
3050_C,25041_V,568_A
2788_C,19989_V,569_A
3119_C,28400_V,570_A
3119_C,28411_V,571_A
3119_C,28414_V,572_A
3119_C,28419_V,573_A
3119_C,28426_V,574_A
3119_C,28446_V,575_A
3119_C,28460_V,576_A
2842_C,20286_V,577_A
2842_C,20293_V,578_A
3058_C,20390_V,579_A
3053_C,25050_V,580_A
2884_C,21663_V,581_A
2909_C,22128_V,582_A
3108_C,26098_V,583_A
2978_C,24129_V,584_A
2996_C,24507_V,585_A
3062_C,25012_V,586_A
3114_C,26892_V,587_A
3114_C,26918_V,588_A
3114_C,27152_V,589_A
3079_C,25495_V,590_A
3079_C,25501_V,591_A
3120_C,28836_V,592_A
3120_C,28840_V,593_A
3120_C,28851_V,594_A
3120_C,28913_V,595_A
3121_C,29298_V,596_A
3121_C,29301_V,597_A
2_C,85_V,598_A
3110_C,26172_V,599_A
2805_C,20163_V,600_A
2874_C,21138_V,601_A
2865_C,20593_V,602_A
2865_C,20638_V,603_A
2865_C,20640_V,604_A
2872_C,21142_V,605_A
84_C,345_V,606_A
91_C,312_V,607_A
97_C,326_V,608_A
2908_C,22186_V,609_A
121_C,433_V,610_A
2668_C,19047_V,611_A
142_C,565_V,612_A
142_C,746_V,613_A
1122_C,8276_V,614_A
2276_C,15552_V,615_A
2276_C,15569_V,616_A
146_C,924_V,617_A
2949_C,23481_V,618_A
153_C,935_V,619_A
2189_C,1012_V,620_A
2793_C,20011_V,621_A
163_C,1137_V,622_A
201_C,1318_V,623_A
2388_C,16777_V,624_A
2190_C,14960_V,625_A
2190_C,14964_V,626_A
2888_C,21665_V,627_A
2888_C,21706_V,628_A
2888_C,21786_V,629_A
2341_C,16050_V,630_A
3118_C,28148_V,631_A
3118_C,28219_V,632_A
221_C,1623_V,633_A
228_C,1731_V,634_A
2843_C,20335_V,635_A
253_C,1816_V,636_A
1578_C,11212_V,637_A
2898_C,22087_V,638_A
308_C,2521_V,639_A
310_C,2517_V,640_A
311_C,2447_V,641_A
311_C,2487_V,642_A
312_C,2512_V,643_A
313_C,2494_V,644_A
314_C,2427_V,645_A
314_C,2561_V,646_A
320_C,2904_V,647_A
320_C,2961_V,648_A
315_C,2718_V,649_A
317_C,2710_V,650_A
321_C,2969_V,651_A
337_C,3091_V,652_A
339_C,3081_V,653_A
358_C,3182_V,654_A
1287_C,9409_V,655_A
2976_C,24194_V,656_A
1617_C,3455_V,657_A
759_C,5498_V,658_A
759_C,5501_V,659_A
2224_C,15005_V,660_A
407_C,3556_V,661_A
2368_C,3656_V,662_A
441_C,3761_V,663_A
3106_C,25728_V,664_A
461_C,3859_V,665_A
2923_C,22442_V,666_A
2885_C,21765_V,667_A
2885_C,21828_V,668_A
492_C,3980_V,669_A
506_C,4067_V,670_A
511_C,4046_V,671_A
511_C,4050_V,672_A
3116_C,27534_V,673_A
544_C,4215_V,674_A
2560_C,18222_V,675_A
609_C,4621_V,676_A
622_C,4596_V,677_A
652_C,4844_V,678_A
662_C,4809_V,679_A
3123_C,29811_V,680_A
3123_C,29825_V,681_A
714_C,5191_V,682_A
714_C,5201_V,683_A
1021_C,7578_V,684_A
1021_C,7614_V,685_A
1317_C,7857_V,686_A
1317_C,9671_V,687_A
2552_C,17797_V,688_A
2552_C,17803_V,689_A
2552_C,17820_V,690_A
711_C,5116_V,691_A
732_C,5334_V,692_A
1472_C,10648_V,693_A
774_C,5771_V,694_A
778_C,5804_V,695_A
779_C,5844_V,696_A
1308_C,9492_V,697_A
792_C,6175_V,698_A
795_C,6131_V,699_A
812_C,6136_V,700_A
2899_C,22076_V,701_A
1587_C,11416_V,702_A
871_C,6636_V,703_A
885_C,6672_V,704_A
2948_C,23423_V,705_A
2948_C,23443_V,706_A
2381_C,16751_V,707_A
2381_C,16787_V,708_A
933_C,7016_V,709_A
937_C,7010_V,710_A
961_C,7155_V,711_A
987_C,7244_V,712_A
1025_C,7591_V,713_A
1813_C,12377_V,714_A
2864_C,20624_V,715_A
1162_C,8434_V,716_A
2980_C,24130_V,717_A
1199_C,8706_V,718_A
3112_C,26488_V,719_A
3112_C,26552_V,720_A
1218_C,8746_V,721_A
1242_C,8844_V,722_A
1251_C,9236_V,723_A
1307_C,9500_V,724_A
3109_C,26151_V,725_A
1356_C,9858_V,726_A
1378_C,9986_V,727_A
1382_C,9982_V,728_A
1414_C,10234_V,729_A
1424_C,10273_V,730_A
1478_C,10629_V,731_A
2942_C,23047_V,732_A
3117_C,27767_V,733_A
3117_C,27772_V,734_A
3117_C,27789_V,735_A
3117_C,27795_V,736_A
2468_C,17340_V,737_A
2468_C,17347_V,738_A
1568_C,11113_V,739_A
1605_C,11437_V,740_A
1630_C,11632_V,741_A
2206_C,14959_V,742_A
3054_C,24980_V,743_A
3054_C,25081_V,744_A
3122_C,29395_V,745_A
3122_C,29467_V,746_A
1896_C,13483_V,747_A
1951_C,13731_V,748_A
1987_C,13845_V,749_A
2429_C,17132_V,750_A
2009_C,13952_V,751_A
2024_C,14026_V,752_A
2944_C,23476_V,753_A
2944_C,23484_V,754_A
2192_C,14853_V,755_A
2197_C,14990_V,756_A
2210_C,14965_V,757_A
3107_C,25781_V,758_A
3113_C,26956_V,759_A
3113_C,26961_V,760_A
3111_C,26487_V,761_A
3111_C,26490_V,762_A
3111_C,26607_V,763_A
2278_C,15566_V,764_A
2284_C,15556_V,765_A
2750_C,19484_V,766_A
2981_C,24177_V,767_A
2361_C,16390_V,768_A
2378_C,16908_V,769_A
2400_C,16807_V,770_A
2461_C,17290_V,771_A
2497_C,17490_V,772_A
2512_C,17542_V,773_A
2526_C,17641_V,774_A
2558_C,18227_V,775_A
2569_C,18194_V,776_A
3115_C,27415_V,777_A
3115_C,27418_V,778_A
2643_C,18826_V,779_A
2643_C,18830_V,780_A
2651_C,18938_V,781_A
2654_C,18937_V,782_A
2658_C,18990_V,783_A
3124_C,29833_V,784_A
2708_C,19232_V,785_A
2709_C,19228_V,786_A
2711_C,19226_V,787_A
2779_C,19754_V,788_A
3119_C,28492_V,789_A
3119_C,28545_V,790_A
3119_C,28546_V,791_A
3119_C,28658_V,792_A
2886_C,21793_V,793_A
3041_C,20101_V,794_A
2806_C,20182_V,795_A
2823_C,20177_V,796_A
3053_C,25073_V,797_A
2884_C,21701_V,798_A
2884_C,21743_V,799_A
3071_C,25366_V,800_A
2913_C,22193_V,801_A
3039_C,22483_V,802_A
2931_C,22567_V,803_A
3108_C,26136_V,804_A
3108_C,26148_V,805_A
3108_C,26160_V,806_A
3114_C,26964_V,807_A
3120_C,28934_V,808_A
3120_C,28972_V,809_A
3120_C,28990_V,810_A
3121_C,29375_V,811_A
3121_C,29429_V,812_A
1_C,128_V,813_A
4_C,104_V,814_A
3110_C,26183_V,815_A
3110_C,26205_V,816_A
3110_C,26208_V,817_A
7_C,112_V,818_A
10_C,95_V,819_A
39_C,113_V,820_A
2874_C,21166_V,821_A
2865_C,20526_V,822_A
2865_C,20659_V,823_A
2872_C,21133_V,824_A
2872_C,21144_V,825_A
124_C,438_V,826_A
2668_C,19051_V,827_A
2668_C,19053_V,828_A
142_C,586_V,829_A
142_C,588_V,830_A
142_C,601_V,831_A
142_C,768_V,832_A
142_C,772_V,833_A
142_C,776_V,834_A
142_C,780_V,835_A
1873_C,13090_V,836_A
2979_C,24182_V,837_A
2949_C,23493_V,838_A
156_C,960_V,839_A
594_C,4490_V,840_A
2982_C,24111_V,841_A
181_C,1151_V,842_A
2862_C,20639_V,843_A
2862_C,20653_V,844_A
2862_C,20654_V,845_A
183_C,1127_V,846_A
185_C,1135_V,847_A
201_C,1347_V,848_A
201_C,1362_V,849_A
201_C,1367_V,850_A
201_C,1378_V,851_A
1466_C,10662_V,852_A
200_C,1279_V,853_A
200_C,1302_V,854_A
200_C,1348_V,855_A
203_C,1364_V,856_A
204_C,1352_V,857_A
2190_C,15011_V,858_A
2888_C,21790_V,859_A
2341_C,16132_V,860_A
3118_C,28064_V,861_A
3118_C,28144_V,862_A
3118_C,28158_V,863_A
3118_C,28160_V,864_A
3118_C,28167_V,865_A
3118_C,28168_V,866_A
3118_C,28171_V,867_A
221_C,1577_V,868_A
221_C,1640_V,869_A
223_C,1667_V,870_A
651_C,4866_V,871_A
651_C,4881_V,872_A
364_C,3268_V,873_A
2921_C,22454_V,874_A
2921_C,22456_V,875_A
274_C,1948_V,876_A
2933_C,22782_V,877_A
1578_C,11243_V,878_A
299_C,2161_V,879_A
308_C,2592_V,880_A
309_C,2551_V,881_A
309_C,2555_V,882_A
309_C,2582_V,883_A
309_C,2590_V,884_A
309_C,2597_V,885_A
309_C,2598_V,886_A
309_C,2626_V,887_A
310_C,2538_V,888_A
310_C,2568_V,889_A
310_C,2572_V,890_A
312_C,2586_V,891_A
313_C,2542_V,892_A
321_C,2952_V,893_A
321_C,2985_V,894_A
322_C,2936_V,895_A
2951_C,23513_V,896_A
2565_C,18290_V,897_A
337_C,3099_V,898_A
340_C,3016_V,899_A
343_C,3161_V,900_A
359_C,3190_V,901_A
360_C,3269_V,902_A
363_C,3307_V,903_A
368_C,3224_V,904_A
2291_C,15607_V,905_A
2941_C,23063_V,906_A
2941_C,23082_V,907_A
2976_C,24220_V,908_A
398_C,3522_V,909_A
759_C,5845_V,910_A
440_C,3771_V,911_A
465_C,3880_V,912_A
3116_C,27577_V,913_A
3116_C,27578_V,914_A
2065_C,14168_V,915_A
2275_C,15632_V,916_A
665_C,4853_V,917_A
1021_C,7803_V,918_A
2552_C,17831_V,919_A
1994_C,13871_V,920_A
763_C,5513_V,921_A
771_C,5500_V,922_A
772_C,5506_V,923_A
774_C,5826_V,924_A
774_C,5840_V,925_A
775_C,5669_V,926_A
775_C,5819_V,927_A
1435_C,10368_V,928_A
1308_C,9518_V,929_A
786_C,6177_V,930_A
786_C,6179_V,931_A
2770_C,19802_V,932_A
2753_C,19497_V,933_A
2861_C,20636_V,934_A
855_C,6420_V,935_A
1241_C,8974_V,936_A
2359_C,16461_V,937_A
872_C,6681_V,938_A
872_C,6684_V,939_A
1027_C,7636_V,940_A
2948_C,23502_V,941_A
2381_C,16818_V,942_A
920_C,6829_V,943_A
923_C,6830_V,944_A
2977_C,24232_V,945_A
938_C,7030_V,946_A
1511_C,10868_V,947_A
2559_C,18253_V,948_A
989_C,7256_V,949_A
1169_C,8513_V,950_A
1169_C,8519_V,951_A
1429_C,10301_V,952_A
1025_C,7633_V,953_A
1031_C,7635_V,954_A
2563_C,18268_V,955_A
1036_C,7802_V,956_A
2365_C,16458_V,957_A
1047_C,7785_V,958_A
1050_C,7790_V,959_A
1882_C,13287_V,960_A
2864_C,20623_V,961_A
1112_C,8092_V,962_A
1850_C,12698_V,963_A
1198_C,8680_V,964_A
3112_C,22730_V,965_A
3112_C,26530_V,966_A
3112_C,26594_V,967_A
1874_C,12988_V,968_A
2868_C,21019_V,969_A
1324_C,9674_V,970_A
3109_C,26244_V,971_A
1333_C,9785_V,972_A
1338_C,9795_V,973_A
1579_C,11234_V,974_A
1579_C,11247_V,975_A
1579_C,11253_V,976_A
1356_C,9870_V,977_A
1357_C,9856_V,978_A
1378_C,9996_V,979_A
1378_C,10078_V,980_A
1422_C,10264_V,981_A
1441_C,10419_V,982_A
1463_C,10565_V,983_A
1465_C,10664_V,984_A
2895_C,21784_V,985_A
1877_C,13284_V,986_A
1877_C,13285_V,987_A
1877_C,13290_V,988_A
1598_C,11444_V,989_A
1580_C,11238_V,990_A
2209_C,15029_V,991_A
2863_C,20632_V,992_A
2863_C,20663_V,993_A
1614_C,11552_V,994_A
2938_C,23091_V,995_A
1663_C,11751_V,996_A
1686_C,11894_V,997_A
1710_C,11909_V,998_A
1721_C,12032_V,999_A
1721_C,12036_V,1000_A
1745_C,12096_V,1001_A
1745_C,12097_V,1002_A
1750_C,12093_V,1003_A
1799_C,12344_V,1004_A
1801_C,12326_V,1005_A
1819_C,12384_V,1006_A
1822_C,12403_V,1007_A
1833_C,12460_V,1008_A
1833_C,12469_V,1009_A
1833_C,12473_V,1010_A
1852_C,12720_V,1011_A
1852_C,12731_V,1012_A
1853_C,12699_V,1013_A
1853_C,12709_V,1014_A
3122_C,29440_V,1015_A
2883_C,21754_V,1016_A
1911_C,13492_V,1017_A
1921_C,13612_V,1018_A
1982_C,13848_V,1019_A
